Category,Product Name,MRP,Sale Price
CUSTOM PC,Intel Custom PC Build,N/A,From ₹50000
CUSTOM PC,AMD Custom PC Build,N/A,From ₹50000
PRE BUILT PC,Kickstart 5500GT Shadow PC Build,N/A,From ₹30000
PRE BUILT PC,Kickstart 3400G Shadow PC Build,N/A,From ₹35000
PRE BUILT PC,Kickstart 5600GT Shadow PC Build,N/A,From ₹35000
PRE BUILT PC,Kickstart 8600G Shadow PC Build,N/A,From ₹40000
PRE BUILT PC,Nova R5 5500 + RTX 3050 Shadow PC Build,N/A,From ₹60000
PRE BUILT PC,Kickstart 8500G Shadow PC Build,N/A,From ₹62000
PRE BUILT PC,Nova R5 5500 + RX 7600 Shadow PC Build,N/A,From ₹65000
PRE BUILT PC,Stealth R5 5600X + RTX 3050 Pro PC Build,N/A,From ₹70000
PRE BUILT PC,Stealth R5 5600 + RX 7600 Pro PC Build,N/A,From ₹70000
PRE BUILT PC,Nano Portable R5 5600 + RTX 5060 Pro PC Build,N/A,From ₹80000
PRE BUILT PC,Cyber M1 R5 9600X + RTX 5060 MSI PC Build,N/A,From ₹110000
PRE BUILT PC,Your Ultimate Partner for Pre-Built Gaming PC India,N/A,₹40000
GAMING PC,Strike R7 5700X + RTX 5060 Ti 16GB Shadow Gaming PC Build,N/A,From ₹50000
GAMING PC,PowerStart R5 5500 + RX 7600 Shadow Gaming PC Build,N/A,From ₹60000
GAMING PC,Smart R5 5500 + RTX 5050 Shadow Gaming PC Build,N/A,From ₹70000
GAMING PC,PowerStart R5 5500 + RTX 3050 Shadow Gaming PC Build,N/A,From ₹70000
GAMING PC,Phantom R5 5600 + RTX 5060 Shadow Gaming PC Build,N/A,From ₹80000
GAMING PC,SkullCrusher R7 5700X + RTX 5070 Shadow Gaming PC Build,N/A,From ₹130000
GAMING PC,Ragnarok R7 9700X + RTX 5080 Shadow Gaming PC Build,N/A,From ₹250000
SPEAKER,Ant Esports GS350 Pro 2.1 Channel RGB Stereo Gaming Speaker,N/A,₹1750
SPEAKER,FAQs on Speaker,N/A,₹1550
WEBCAM,FAQs on Webcam,N/A,₹8290
CONSOLE,Best Products,N/A,₹55990
PROCESSOR,AMD Ryzen 5 5500 Processor,N/A,₹9490
PROCESSOR,AMD Ryzen 5 5600 Processor,N/A,₹13690
PROCESSOR,AMD Ryzen 5 5500GT Processor,N/A,₹14790
PROCESSOR,AMD Ryzen 5 5600X Processor,N/A,₹14990
PROCESSOR,AMD Ryzen 5 7500F Processor,N/A,₹15190
PROCESSOR,AMD Ryzen 5 8500G Processor,N/A,₹15990
PROCESSOR,AMD Ryzen 5 5600GT Processor,N/A,₹16490
PROCESSOR,Intel Core I5-14400F Processor,N/A,₹17490
PROCESSOR,AMD Ryzen 7 5700X OEM Tray Processor (3 Years Waranty),N/A,₹17990
PROCESSOR,AMD Ryzen 5 7600X Processor,N/A,₹18290
PROCESSOR,Intel Core Ultra 5 225 Processor,N/A,₹20490
PROCESSOR,Intel Core I5-14400 Intel Processor,N/A,₹23490
PROCESSOR,AMD Ryzen 7 9700X OEM Tray Processor (3 Years Waranty),N/A,₹27990
PROCESSOR,AMD Ryzen 7 7700X Processor,N/A,₹27990
PROCESSOR,Intel Core Ultra 5 250K Plus Processor,N/A,₹27990
PROCESSOR,AMD Ryzen 7 9700X Processor,N/A,₹30990
PROCESSOR,Intel Core Ultra 7 270K Plus Processor,N/A,₹38490
PROCESSOR,AMD Ryzen 9 9900X Processor,N/A,₹40990
PROCESSOR,AMD Ryzen 7 7800X3D Processor,N/A,₹41290
PROCESSOR,AMD Ryzen 7 9800X3D OEM Tray Processor (3 Years Waranty),N/A,₹45990
PROCESSOR,AMD Ryzen 7 9800X3D Processor,N/A,₹49190
PROCESSOR,Intel Core Ultra 9 285K Processor,N/A,₹61490
PROCESSOR,AMD Ryzen 9 9950X3D Processor,N/A,₹72290
PROCESSOR,Make Your Processor Shopping Easy with ModxComputers,N/A,₹48000
MOTHERBOARD,Gigabyte B450M K Motherboard,N/A,₹6690
MOTHERBOARD,MSI PRO B760M-E DDR4 Motherboard,N/A,₹8490
MOTHERBOARD,MSI PRO B760M-E (DDR5) Motherboard,N/A,₹8990
MOTHERBOARD,Gigabyte B860M K Motherboard,N/A,₹10290
MOTHERBOARD,MSI B760M Bomber WIFI DDR4 Motherboard,N/A,₹11490
MOTHERBOARD,Gigabyte B850M FORCE WIFI6E V2 Motherboard,N/A,₹13490
MOTHERBOARD,MSI B840M Gaming Plus WIFI6E,N/A,₹13890
MOTHERBOARD,Gigabyte B860M EAGLE WIFI6 Motherboard,N/A,₹14490
MOTHERBOARD,MSI B860M Gaming WIFI Motherboard,N/A,₹14990
MOTHERBOARD,MSI PRO B760M-A WIFI (DDR5) Motherboard,N/A,₹15290
MOTHERBOARD,MSI PRO B850-S WIFI6E Motherboard,N/A,₹15390
MOTHERBOARD,MSI PRO B860M-P WIFI6E Motherboard,N/A,₹15990
MOTHERBOARD,MSI B760M Gaming Plus WIFI DDR4 Motherboard,N/A,₹16790
MOTHERBOARD,Colorful CVN B850M GAMING FROZEN V14 Motherboard,N/A,₹16990
MOTHERBOARD,Gigabyte B850 EAGLE WIFI6E Motherboard,N/A,₹17190
MOTHERBOARD,MSI B850 Gaming Plus WIFI6E Motherboard,N/A,₹17390
MOTHERBOARD,Gigabyte B850M Gaming X WIFI6E Motherboard,N/A,₹17490
MOTHERBOARD,Gigabyte B850M Eagle WIFI6E ICE Motherboard,N/A,₹17990
MOTHERBOARD,MSI PRO B850-P WIFI Motherboard,N/A,₹18490
MOTHERBOARD,MSI MAG B760M Mortar WIFI II (DDR5) Motherboard,N/A,₹18490
MOTHERBOARD,Gigabyte B850 Gaming X WIFI6E Motherboard,N/A,₹18990
MOTHERBOARD,MSI B850M Gaming Plus WIFI Motherboard,N/A,₹19890
MOTHERBOARD,Gigabyte Z790 Eagle AX (DDR5) (WIFI) Motherboard,N/A,₹19990
MOTHERBOARD,Gigabyte B850M Aorus Elite WIFI6E Motherboard,N/A,₹20490
MOTHERBOARD,Buy Motherboards Online at ModxComputers,N/A,₹26000
CPU COOLER,Antec A450 FRGB Air Cooler (Black),N/A,₹1590
CPU COOLER,Cooler Master Hyper 212 Spectrum V3 ARGB Air Cooler (Black),N/A,₹1990
CPU COOLER,MSI MAG CoreFrozr AA13 Air Cooler (White),N/A,₹2190
CPU COOLER,Cooler Master Hyper 620S ARGB Air Cooler (Black),N/A,₹3390
CPU COOLER,Arctic Freezer 36 CO Air Cooler (Black),N/A,₹3490
CPU COOLER,Cooler Master Hyper 212 Halo ARGB (Black),N/A,₹3590
CPU COOLER,KingCool Iron Wind ARGB Air Cooler (White),N/A,₹3690
CPU COOLER,Arctic Freezer 36 Air Cooler (Black),N/A,₹4000
CPU COOLER,Arctic Freezer 36 ARGB Air Cooler (Black),N/A,₹4090
CPU COOLER,Ant Esports V8 Digital ARGB Air Cooler (Black),N/A,₹4290
CPU COOLER,Arctic Freezer 36 ARGB Air Cooler (White),N/A,₹4290
CPU COOLER,Cooler Master Hyper 212 3DHP ARGB Air Cooler (Black),N/A,₹4500
CPU COOLER,DeepCool AK400 G2 Digital NYX Air Cooler (Black),N/A,₹4690
CPU COOLER,DeepCool LE240 V2 ARGB Liquid Cooler (Black),N/A,₹5590
CPU COOLER,MSI MAG Coreliquid A13 240 ARGB Liquid Cooler (Black),N/A,₹5690
CPU COOLER,DeepCool LE240 WH V2 ARGB Liquid Cooler (White),N/A,₹5790
CPU COOLER,MSI MAG Coreliquid A13 360 ARGB Liquid Cooler (Black),N/A,₹6890
CPU COOLER,ProLab Design AI360 LC Liquid Cooler (Black),N/A,₹7190
CPU COOLER,MSI MAG Coreliquid A13 360 ARGB Liquid Cooler (White),N/A,₹7290
CPU COOLER,Cooler Master MasterLiquid Core Nex 360 ARGB Liquid Cooler (Black),N/A,₹7790
CPU COOLER,Cooler Master MasterLiquid Core Nex 360 ARGB Liquid Cooler (White),N/A,₹7890
CPU COOLER,Cooler Master MasterLiquid Core Nex Digital 360 ARGB Liquid Cooler (Black),N/A,₹8590
CPU COOLER,Cooler Master MasterLiquid Core Nex Digital 360 ARGB (White),N/A,₹8590
CPU COOLER,DeepCool LD360 ARGB with Display Liquid Cooler (Black),N/A,₹8990
CPU COOLER,DeepCool LM360 ARGB with IPS LCD Display (Black),N/A,₹9890
CPU COOLER,MSI MAG Coreliquid A15 360 ARGB Liquid Cooler (Black),N/A,₹9990
CPU COOLER,Arctic Liquid Freezer III Pro 360 Liquid Cooler (Black),N/A,₹10490
CPU COOLER,DeepCool LP360 ARGB with Display Liquid Cooler (Black),N/A,₹10990
CPU COOLER,Corsair Nautilus 360 RS with IPS LCD Display Liquid Cooler (Black),N/A,₹11390
CPU COOLER,Cooler Master MasterLiquid Core LCD 360 4-inch with Display Liquid Cooler (Black),N/A,₹11490
CPU COOLER,Arctic Liquid Freezer III Pro 360 ARGB Liquid Cooler (Black),N/A,₹11890
CPU COOLER,Arctic Liquid Freezer III Pro 360 ARGB (White) AIO Liquid Cooler,N/A,₹11990
CPU COOLER,MSI MAG Coreliquid I360 ARGB Liquid Cooler (Black),N/A,₹12490
CPU COOLER,MSI MAG Coreliquid I360 ARGB Liquid Cooler (White),N/A,₹12490
CPU COOLER,DeepCool LM360 WH ARGB with IPS LCD Display (White),N/A,₹13490
CPU COOLER,Lian Li Hydroshift II LCD-C 360N Fan less ARGB with IPS LCD Display Liquid Cooler (Black),N/A,₹13790
CPU COOLER,MSI MPG Coreliquid P13 360 with IPS LCD Display Liquid Cooler (White),N/A,₹15490
CPU COOLER,MSI MPG Coreliquid P13 360 with IPS LCD Display Liquid Cooler (Black),N/A,₹15490
CPU COOLER,Cooler Master MasterLiquid Atmos II 360 LCD ARGB Liquid Cooler (Black),N/A,₹16090
CPU COOLER,Cooler Master MasterLiquid Atmos II 360 LCD ARGB Liquid Cooler (White),N/A,₹16390
CPU COOLER,Lian Li Hydroshift II LCD-C 360CL ARGB Liquid Cooler with IPS LCD Display (Black),N/A,₹16490
CPU COOLER,Lian Li Hydroshift II LCD-C 360CL ARGB Liquid Cooler with IPS LCD Display (White),N/A,₹16490
CPU COOLER,NZXT Kraken Plus 360 RGB with LCD Display Liquid Cooler (Black),N/A,₹19390
CPU COOLER,NZXT Kraken Elite 420 RGB with IPS LCD Display Liquid Cooler (Black),N/A,₹29990
CPU COOLER,CPU Coolers at ModxComputers,N/A,₹60000
RAM,TeamGroup T-Force Vulcan Z 8GB (8GBx1) DDR4 CL16 3200MHz RAM (Gray),N/A,₹6990
RAM,G.Skill Ripjaws V 16GB (16GBx1) DDR4 CL16 3200MHz RAM (Black),N/A,₹12990
RAM,TeamGroup T-Force Vulcan Z 16GB (16GBx1) DDR4 CL16 3200MHz RAM (Red),N/A,₹12990
RAM,Adata XPG Gammix D35 16GB (16GBx1) DDR4 CL16 3200MHz RAM (Black),N/A,₹12990
RAM,Corsair Vengeance LPX 16GB (16GBx1) DDR4 CL16 3200MHz RAM (Black),N/A,₹13490
RAM,Corsair Vengeance 8GB (8GBx1) DDR5 CL40 5200MHz RAM (Black),N/A,₹13590
RAM,Adata XPG Lancer Blade 8GB (8GBx1) DDR5 CL46 5600MHz RAM (Black),N/A,₹13990
RAM,Corsair Vengeance RGB 8GB (8GBx1) DDR5 CL40 5200MHz RAM (Black),N/A,₹14490
RAM,TeamGroup T-Force Delta RGB 16GB (16GBx1) DDR4 CL16 3200MHz RAM (White),N/A,₹14990
RAM,Kingston Fury Beast 16GB (16GBx1) DDR5 CL40 5200MHz RAM (Black),N/A,₹26990
RAM,G.Skill Ripjaws S5 16GB (16GBx1) DDR5 CL40 5200MHz RAM (Black),N/A,₹26990
RAM,Adata XPG Lancer Blade 16GB (16GBx1) DDR5 CL46 5600MHz RAM (Black),N/A,₹27490
RAM,Crucial Pro 16GB (16GBx1) DDR5 CL46 5600MHz RAM (Black),N/A,₹27590
RAM,G.Skill Ripjaws S5 16GB (16GBx1) DDR5 CL40 5600MHz RAM (Black),N/A,₹27690
RAM,TeamGroup T-Force Delta RGB 16GB (16GBx1) DDR5 CL38 6000MHz RAM (Black),N/A,₹31390
RAM,TeamGroup T-Force Vulcan 32GB (32GBx1) DDR5 CL38 6000MHz RAM (Black),N/A,₹51990
RAM,TeamGroup T-Force Delta RGB 32GB (32GBx1) DDR5 CL38 6000MHz RAM (White),N/A,₹53990
RAM,Acer Predator Vesta II RGB 32GB (16GBx2) DDR5 CL36 6000MHz RAM (Black),N/A,₹59990
RAM,TeamGroup T-Create Expert 32GB (16GBx2) DDR5 CL30 6000MHz RAM (White),N/A,₹64990
RAM,TeamGroup T-Force Delta RGB 32GB (16GBx2) DDR5 CL30 6000MHz RAM (White),N/A,₹66990
RAM,Corsair Vengeance 48GB (24GBx2) DDR5 CL38 5200MHz RAM (Black),N/A,₹69990
RAM,Top-Notch RAMs at ModxComputers,N/A,₹5000
GRAPHICS CARD,ASUS Dual RX 7600 OC Edition 8GB Graphics Card,N/A,₹34490
GRAPHICS CARD,Gigabyte RX 7600 Gaming OC 8GB Graphics Card,N/A,₹35490
GRAPHICS CARD,Inno3D RTX 5050 Twin X2 GDDR6 Graphics Card,N/A,₹36290
GRAPHICS CARD,ASUS Dual RTX 5050 OC Edition 8GB GDDR6 Graphics Card,N/A,₹44990
GRAPHICS CARD,Gigabyte RTX 5050 Windforce OC 8GB GDDR6 Graphics Card,N/A,₹44990
GRAPHICS CARD,MSI RTX 5050 Shadow 2X OC 8GB GDDR6 Graphics Card,N/A,₹44990
GRAPHICS CARD,Gigabyte RX 9060 XT Gaming OC 8GB GDDR6 Graphics Card,N/A,₹47990
GRAPHICS CARD,Gigabyte RTX 3060 Windforce OC 12GB Graphics Card,N/A,₹47990
GRAPHICS CARD,Colorful RTX 5060 Gaming DUO 8GB GDDR7 Graphics Card,N/A,₹54990
GRAPHICS CARD,ASRock RX 9060 XT Challenger OC 16GB GDDR6 Graphics Card,N/A,₹55990
GRAPHICS CARD,Colorful iGame RTX 5060 Ultra W DUO OC 8GB GDDR7 Graphics Card (White),N/A,₹55990
