Product Name,MRP,Sale Price
Galax Vortex Wind 01 120mm ARGB Case Fan (Single Pack) (Black),N/A,₹890
Sort by price : Low To High,N/A,₹1500
Antec A450 FRGB Air Cooler (Black),N/A,₹1590
PC Components,N/A,₹4000
Cooler Master Hyper 212 Spectrum V3 ARGB Air Cooler (Black),N/A,₹1990
Filters,N/A,₹4000
Ant Esports Spectraflow ARGB (Triple Pack) (Black),N/A,₹2090
MSI MAG CoreFrozr AA13 Air Cooler (White),N/A,₹2190
Ant Esports Spectraflow ARGB (Triple Pack) (White),N/A,₹2290
Ant Value CV100 (Black) Cabinet,N/A,₹2690
TAG Gamerz EVA  3 ARGB Fans  M-ATX Cabinet (White),N/A,₹2790
Ant Value CV100 (White) Cabinet,N/A,₹2890
MSI PRO Forge M050A (Black) Cabinets,N/A,₹2990
Ant Esports Quartzflow ARGB 120mm Reverse Stackable Case Fans (Triple Pack) (Black),N/A,₹3090
Ant Esports Quartzflow ARGB 120mm Reverse Stackable Case Fans (Triple Pack) (White),N/A,₹3090
Discover the best Gaming PC Components,N/A,₹16000
PC prices will rise in OCT 2026 due to AI component scarcity. Order your PC now,N/A,₹17000
